# Large Sales Dataset for ML Training
product_id,customer_id,region,sales_amount,quantity,discount,category,season,customer_age,customer_income,marketing_channel
1,101,North,1250.50,5,0.10,Electronics,Spring,35,65000,Online
2,102,South,890.25,3,0.05,Clothing,Summer,28,45000,Store
3,103,East,2100.75,8,0.15,Electronics,Fall,42,85000,Email
4,104,West,560.00,2,0.00,Home,Winter,33,55000,Social
5,105,North,1850.30,7,0.12,Electronics,Spring,29,72000,Online
6,106,South,720.80,4,0.08,Clothing,Summer,31,48000,Store
7,107,East,3200.25,12,0.20,Electronics,Fall,38,95000,Email
8,108,West,450.75,1,0.00,Books,Winter,25,35000,Social
9,109,North,1680.90,6,0.15,Home,Spring,45,78000,Online
10,110,South,920.50,3,0.05,Clothing,Summer,27,42000,Store
11,111,East,2750.00,10,0.18,Electronics,Fall,40,88000,Email
12,112,West,380.25,1,0.00,Books,Winter,22,32000,Social
13,113,North,1450.75,5,0.10,Home,Spring,36,68000,Online
14,114,South,1120.30,4,0.07,Clothing,Summer,30,52000,Store
15,115,East,2890.50,11,0.22,Electronics,Fall,44,92000,Email
16,116,West,670.80,2,0.03,Books,Winter,26,38000,Social
17,117,North,1980.25,8,0.14,Electronics,Spring,34,75000,Online
18,118,South,810.50,3,0.06,Clothing,Summer,29,47000,Store
19,119,East,3450.75,15,0.25,Electronics,Fall,41,98000,Email
20,120,West,520.00,2,0.00,Home,Winter,32,58000,Social
21,121,North,1750.30,7,0.13,Electronics,Spring,37,70000,Online
22,122,South,960.25,4,0.08,Clothing,Summer,28,49000,Store
23,123,East,2650.80,9,0.19,Electronics,Fall,43,89000,Email
24,124,West,420.50,1,0.00,Books,Winter,24,34000,Social
25,125,North,1580.75,6,0.11,Home,Spring,39,72000,Online
26,126,South,1080.30,4,0.07,Clothing,Summer,31,51000,Store
27,127,East,3100.25,13,0.23,Electronics,Fall,46,96000,Email
28,128,West,590.80,2,0.02,Books,Winter,27,39000,Social
29,129,North,2150.50,9,0.16,Electronics,Spring,35,76000,Online
30,130,South,850.75,3,0.06,Clothing,Summer,30,48000,Store
